team,head_coach,offensive_coordinator,defensive_coordinator,Special Teams Coach,OFF Scheme,DEF Scheme
Dallas Cowboys,Brian Schottenheimer,Klayton Adams,Matt Eberflus,Nick Sorenson,3WR,4-3
New York Giants,Brain Daboll,Mike Kafka,Shane Bowen,Michael Ghobrial,3WR,3-4
Philadelphia Eagles,Nick Sirianni,Kevin Patullo,Vic Fangio,Michael Clay,3WR,3-4
Washington Commanders,Dan Quinn,Kliff Kingsbury,Joe Whitt Jr.,Nate Kaczor,3WR,4-3
Chicago Bears,Ben Johnson,Declan Doyle,Eric Washington,Richard Hightower,3WR,4-3
Detroit Lions,Dan Campbell,John Morton,Kelvin Sheppard,Dave Fipp,3WR,4-3
Green Bay Packers,Matt LaFleur,Adam Stenavich,Jeff Hafley,Rich Bisaccia,3WR,4-3
Minnesota Vikings,Kevin O'Connell,Wes Phillips,Brian Flores,Matt Daniels,3WR,3-4
Atlanta Falcons,Raheem Morris,Zac Robinson,Jeff Ulbrich,Marquice Williams,3WR,3-4
Carolina Panthers,Dave Canales,Brad Idzik,Ejiro Evero,Chris Tabor,3WR,3-4
New Orleans Saints,Kellen Moore,Doug Nussmeier,Brandon Staley,Phil Galiano,3WR,4-3
Tampa Bay Buccaneers,Todd Bowles,Josh Gizzard,Kacy Rodgers & Larry Foote,Thomas McGaughey,3WR,3-4
Arizona Cardinals,Jonathan Gannon,Drew Petzing,Nick Rallis,Jeff Rodgers,3WR,3-4
San Francisco 49ers,Kyle Shanahan,Klay Kubiak,Robert Saleh,Brant Boyer,3WR,4-3
Los Angeles Rams,Sean McVay,Mike LaFleur,Chris Shula,Chase Blackburn,3WR,3-4
Seattle Seahawks,Mike Macdonald,Klint Kubiak,Aden Durde,Jay Harbaugh,3WR,3-4
Buffalo Bills,Sean McDermott,Joe Brady,Bobby Babich,Chris Tabor,3WR,4-3
Miami Dolphins,Mike McDaniel,Frank Smith,Anthony Weaver,Craig Aukerman,3WR,3-4
New England Patriots,Mike Vrabel,Josh McDaniels,Terrell Williams,Jeremy Springer,3WR,3-4
New York Jets,Aaron Glenn,Tanner Engstrand,Steve Wilks,Chris Banjo,3WR,4-3
Baltimore Ravens,John Harbaugh,Todd Monken,Zach Orr,Chris Horton,3WR,3-4
Cincinnati Bengals,Zac Taylor,Dan Pitcher,Al Golden,Darrin Simmons,3WR,4-3
Cleveland Browns,Kevin Stefanski,Tommy Rees,Jim Schwartz,Bubba Ventrone,3WR,4-3
Pittsburgh Steelers,Mike Tomlin,Arthur Smith,Teryl Austin,Danny Smith,3WR,3-4
Houston Texans,DeMeco Ryans,Nick Caley,Matt Burke,Frank Ross,3WR,4-3
Indianapolis Colts,Shane Steichen,Jim Bob Cooter,Lou Anarumo,Brian Mason,3WR,4-3
Jacksonville Jaguars,Liam Coen,Grant Udinski,Anthony Campanile,Heath Farwell,3WR,4-3
Tennessee Titans,Brian Callahan,Nick Holz,Dennard Wilson,John Fassel,3WR,3-4
Denver Broncos,Sean Payton,Joe Lombardi,Vance Joseph,Darren Rizzi,3WR,3-4
Kansas City Chiefs,Andy Reid,Matt Nagy,Steve Spagnuolo,Dave Toub,3WR,4-3
Los Angeles Chargers,Jim Harbaugh,Greg Roman,Jesse Minter,Ryan Ficken,3WR,3-4
Las Vegas Raiders,Pete Carroll,Chip Kelly,Patrick Graham,Tom McMahon,3WR,4-3